Número de registro o fila,Nombre de campo,Dato publicado,Dato nuevo,Estatus del cambio,Fecha de modificación,
8,IVFP_C,0,163.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
214,IVFP_C,0,172.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
420,IVFP_C,0,215.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
626,IVFP_C,0,204,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
832,IVFP_C,0,153,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1038,IVFP_C,0,36.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1244,IVFP_C,0,0.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1450,IVFP_C,0,0.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1656,IVFP_C,0,0.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1862,IVFP_C,0,2.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2068,IVFP_C,0,13.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2274,IVFP_C,0,80.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
